Avone Beauty Secrets ‰Û¡ÌÝÌÕ Beauty Brows Hair Nails Spa,Waterway Point,East Wing  #01-39,6385 2822,Hair & Beauty,
Awfully Chocolate,Changi City Point,#B1-07,6443 0836,Food & Restaurants,
Axclusive Living,The Centrepoint,#04-07,N.A,Furniture  Furnishings and Household,
Ayam Penyet President,Northpoint City,North Wing  #B1-54,6257 2991,Food & Restaurants,
Babyshop,Waterway Point,West Wing  #02-K1,N.A,Children's Wear  Toys & Maternity,
BabySPA,Changi City Point,#02-08/09,6636 4076,Services,
Bagus,Causeway Point,#07-03,6894 0919,Food & Restaurants,
Bagzx,Changi City Point,#02-K5,6702 0071,Leather Goods  Bags & Shoes,
Baleno,Eastpoint Mall,#01-18,N.A,Fashion Wear & Accessories,
Bali Thai,Causeway Point,#05-05,6894 1363,Food & Restaurants,
Bali Thai,Waterway Point,West Wing  #B1-13,6385 3630,Food & Restaurants,
Ban Heng Teochew Porridge,Northpoint City,North Wing,Not Available.,Food & Restaurants,
Banana Story,Causeway Point,#02-K07,N.A,Gifts,
Bank Of China,Causeway Point,#B1-12,1800 669 5566,Bank & Money Changer,
Bank of China,Waterway Point,West Wing  #01-16,1800 669 5566,Bank & Money Changer,
Barbers Tokyo By Devonshire,Robertson Walk,#01-26,6235 2638,Hair & Beauty,
Bata,Causeway Point,#02-16,6513 4377,Leather Goods  Bags & Shoes,
Bata,Changi City Point,#01-16,6513 0497,Leather Goods  Bags & Shoes,
Bata,Eastpoint Mall,#02-26,6555 1372,Leather Goods  Bags & Shoes,
Bata,Northpoint City,North Wing,6513 4362,Leather Goods  Bags & Shoes,
Bata,The Centrepoint,#02-18/19,6235 1824,Leather Goods  Bags & Shoes,
Bata,Waterway Point,East Wing  #01-46/47,6386 0691,Leather Goods  Bags & Shoes,
BBounce Studio,The Centrepoint,#06-09/10,6262 2272,Sports & Leisure,
BeautÌÎå© Hub,Eastpoint Mall,#03-16,6443 1515,Hair & Beauty,
BeautÌÎå© Nails,Eastpoint Mall,#03-20/21,6636 1515,Hair & Beauty,
Beauty in The Pot,The Centrepoint,#05-15/16,6235 3557,Food & Restaurants,
Beauty Language,Eastpoint Mall,#04-15,6784 1208,Hair & Beauty,
Beauty Language,Northpoint City,North Wing  #B1-33,6755 7122,Hair & Beauty,
Beauty Language,YewTee Point,#01-31,6762 5363,Hair & Beauty,
Bedroom Affairs,Waterway Point,West Wing  #B1-09A,Not Available.,Furniture  Furnishings and Household,
Bee Cheng Hiang,Causeway Point,#B1-40,6893 9388,Food & Restaurants,
Bee Cheng Hiang,Waterway Point,West Wing  #B2-K5/K6,6385 1605,Food & Restaurants,
Beijing 101 Hair Consultants,Causeway Point,#05-02A,6558 8101,Hair & Beauty,
Beijing Language School,Waterway Point,West Wing  #02-01,6315 8406,Schools & Offices,
Bengawan Solo,Anchorpoint,#B1-45,6471 8783,Food & Restaurants,
Bengawan Solo,Causeway Point,#B1-27,6767 1090,Food & Restaurants,
Bengawan Solo,Northpoint City,North Wing  #B1-19,N.A,Food & Restaurants,
Best Denki,Waterway Point,East Wing  #B1-24,6456 3922,Electrical  Electronic  Camera & Telecommunication,
Better Vision,Causeway Point,#02-17,6893 9936,Optical,
Better Vision,Northpoint City,North Wing  #02-33,6754 1358,Optical,
Better Vision,Waterway Point,West Wing  #B1-02,6384 9177,Optical,
Bezel  The Watch Collectors' Guild,Robertson Walk,#01-33,6738 1221,Jewellery & Watches,
Big & Beautiful,Bedok Point,#02-26,6441 2400,Fashion Wear & Accessories,
Billabong Outlet,Anchorpoint,#B1-14/15,6476 0129,Fashion Wear & Accessories,
Bing Bing Ice Cream Gallery,Valley Point,#01-24,6334 0414,Food & Restaurants,
Birkenstock,The Centrepoint,#03-01A,6836 4528,Leather Goods  Bags & Shoes,
Black Hammer,Causeway Point,#02-07,6766 0058,Leather Goods  Bags & Shoes,
Black Hammer,Eastpoint Mall,#02-34,6789 1622,Leather Goods  Bags & Shoes,
Black Pearl,Waterway Point,West Wing  #01-K11,6255 5516,Hair & Beauty,
BlackBall,Waterway Point,East Wing  #B1-K6,N.A,Food & Restaurants,
Blackoutz,Northpoint City,North Wing  #03-07,6758 8402,Fashion Wear & Accessories,
bods.bodynits,Changi City Point,#01-47,6444 0298,Fashion Wear & Accessories,
Boom Steak,The Centrepoint,#B1-K1,N.A,Food & Restaurants,
Boon Lay Power Nasi Lemak,Causeway Point,#B1-K15,N.A,Food & Restaurants,
Boon Lay Power Nasi Lemak,YewTee Point,#B1-38,6314 4118,Food & Restaurants,
Boost Juice,Northpoint City,North Wing  #01-02,N.A,Food & Restaurants,
Bossini,Causeway Point,#01-20,6893 3061,Fashion Wear & Accessories,
Bossini,Changi City Point,#01-29,6636 1465,Fashion Wear & Accessories,
Bottega Verde,Causeway Point,#01-23A,6891 2183,Hair & Beauty,
Bottega Verde,Waterway Point,East Wing  #01-56,6385 8045,Hair & Beauty,
Bottles and Bottles,The Centrepoint,#B1-K8/K9,N.A,Food & Restaurants,
Boudoir,Anchorpoint,#01-23,6471 0388,Fashion Wear & Accessories,
Boulevard,Changi City Point,#01-72/73,N.A,Food & Restaurants,
Box Boss,Northpoint City,North Wing  #02-46,8365 5523,Gifts,
Branded Outlet,Changi City Point,#02-29/30,6636 1709,Fashion Wear & Accessories,
BreadTalk,Causeway Point,#01-34,6893 4434,Food & Restaurants,
BreadTalk,Changi City Point,#01-12,6781 4434,Food & Restaurants,
BreadTalk,Eastpoint Mall,#01-01,6260 0371,Food & Restaurants,
BreadTalk,The Centrepoint,#B1-K6/K7,N.A,Food & Restaurants,
BreadTalk,Waterway Point,East Wing  #B1-15,6385 8563,Food & Restaurants,
Brez'n,Valley Point,#01-21/22/23,6235 1613,Food & Restaurants,
Bright Optique,YewTee Point,#B1-31,6875 0131,Optical,
British Essential,Eastpoint Mall,#B1-03,N.A,Hair & Beauty,
Bronz Tanning Salon,China Square Central,18 Cross St,6327 3777,Hair & Beauty,
BsaB,The Centrepoint,#01-33L,6734 5026,Hair & Beauty,
Buddy Hoagies CafÌÎå© & Grill,Waterway Point,West Wing  #02-22,6385 8328,Food & Restaurants,
Bukang Korean BBQ & Seafood,Anchorpoint,368 Copperdome,6327 4123,Food & Restaurants,
BurgerUp,Waterway Point,West Wing  #B2-06,6384 4509,Food & Restaurants,
Cambridge Pre-school,Robertson Walk,#02-01/02,6737 9139 <br> 6735 9426,Schools & Offices,
Canton Paradise,Northpoint City,North Wing  #02-06,N.A,Food & Restaurants,
Capitol Optical,Causeway Point,#B1-02,6894 0489,Optical,
Capitol Optical,Changi City Point,#01-14,6636 0386,Optical,
Capitol Optical,Northpoint City,North Wing  #B1-56,6753 0233,Optical,
Caraters | Diamonds in Pairs,Robertson Walk,#02-15,6235 4544,Jewellery & Watches,
Cars International,The Centrepoint,L4 Carpark,6734 4072,Services,
Cathay Cineplexes,Causeway Point,#07-01,6767 1580,Amusement/Entertainment,
Cedele Bakery Kitchen,Waterway Point,West Wing  #01-66,6385 7961,Food & Restaurants,
Challenger,Bedok Point,#B1-05/06/07/08/09/K15,Not Available.,Electrical  Electronic  Camera & Telecommunication,
Challenger,Causeway Point,#04-07,6893 8721,Electrical  Electronic  Camera & Telecommunication,
Challenger,Changi City Point,#01-56/57/58/59,6636 1052,Electrical  Electronic  Camera & Telecommunication,
Challenger,Eastpoint Mall,#B1-08,6702 0018,Electrical  Electronic  Camera & Telecommunication,
Challenger,Northpoint City,North Wing,6853 8300,Electrical  Electronic  Camera & Telecommunication,
Challenger Mini,YewTee Point,#B1-12/13,6465 8872,Electrical  Electronic  Camera & Telecommunication,
Challenger Mini,Waterway Point,East Wing  #B1-26,6385 8775,Electrical  Electronic  Camera & Telecommunication,
Chamelon,Causeway Point,#B1-03,6894 2734,Fashion Wear & Accessories,
CHARLES & KEITH,Causeway Point,#01-28,6767 1306,Leather Goods  Bags & Shoes,
CHARLES & KEITH,Waterway Point,East Wing  #01-51,6385 8153,Leather Goods  Bags & Shoes,
CHARLES & KEITH Outlet,Anchorpoint,#01-30/31,6472 6937,Leather Goods  Bags & Shoes,
Cheers,Eastpoint Mall,#01-10/11,6443 2077,Services,
Chen Kang Foot Spa,Bedok Point,#03-25/26,6441 1194,Services,
Chen Kang Wellness,Eastpoint Mall,#03-19,6782 0200,Services,
Chicken Hotpot,Bedok Point,#02-35/36,6242 2592,Food & Restaurants,
Chicken Up,The Centrepoint,#01-33H,6635 2651,Food & Restaurants,
Chir Chir Fusion Chicken Factory,Bedok Point,#02-05/06,6481 2098,Food & Restaurants,
Chiropratic First,Northpoint City,North Wing  #03-36,N.A,Pharmacy & Healthcare,
Choc Spot,Eastpoint Mall,#B1-18,N.A,Food & Restaurants,
Choc Spot,The Centrepoint,#B2-01A,N.A,Food & Restaurants,
Choc Spot,Waterway Point,East Wing  #B2-22,6247 5451,Food & Restaurants,
Circular Haircraft,China Square Central,18 Cross St #02-12,6327 4678,Hair & Beauty,
Citibank,Waterway Point,West Wing  #01-17,6225 5225,Bank & Money Changer,
Citispa,Northpoint City,North Wing  #02-23,6852 3168,Hair & Beauty,
Citispa,YewTee Point,#B1-16,6462 6178 <br> 6462 6179,Hair & Beauty,
Citrusox,Causeway Point,#02-K03,6893 8004,Fashion Wear & Accessories,
City Best,Changi City Point,#B1-42,6604 9786,Bank & Money Changer,
City Chain,Causeway Point,#01-04,6894 2587,Jewellery & Watches,
City Chain,Northpoint City,North Wing  #01-32,6759 2975,Jewellery & Watches,
City Chain,Waterway Point,West Wing  #01-18,6386 0628,Jewellery & Watches,
Clariti - Hearing Care Professionals,The Centrepoint,#03-29,6733 1011,Pharmacy & Healthcare,
Clarks Outlet,Changi City Point,#01-33,6444 6513,Leather Goods  Bags & Shoes,
Clay Cove,The Centrepoint,#05-01,6733 8129,Arts & Crafts,
Click!,The Centrepoint,#03-40/40A/40B,6226 7226,Electrical  Electronic  Camera & Telecommunication,
Clinique,Causeway Point,#01-K05,6893 3322,Hair & Beauty,
Clover Medical Clinic Pte Ltd,YewTee Point,#B1-25,6509 4480,Pharmacy & Healthcare,
ClubCo / Club Meatballs,China Square Central,20 Cross St #01-05/07/12/17 &amp; #01-34/36,6222 8660,Food & Restaurants,
Coby Bag Shoe & Key Services,YewTee Point,#B1-11A,6509 8292,Services,
Cococane,Waterway Point,West Wing  #B2-K7,Not Available.,Food & Restaurants,
Cold Storage,Anchorpoint,#B1-03/04/05/06/07,6479 3242,Supermarket,MR85002257
Cold Storage,Causeway Point,#B1-31/32/33,6894 1236,Supermarket,MR85002257
Cold Storage,Northpoint City,North Wing,6756 7100,Supermarket,MR85002257
Cold Storage,The Centrepoint,#B1-09/10,6235 0737 <br>  6235 3401,Supermarket,MR85002257
Coldwear,Causeway Point,#03-15,6893 1906,Fashion Wear & Accessories,
Coldwear,Changi City Point,#02-45,6636 1607,Fashion Wear & Accessories,
Color Kid‰Û¡ÌÝå»s World,Waterway Point,West Wing  #02-K2,6386 8482,Arts & Crafts,
ColorWash,China Square Central,18 Cross St #01-08,6327 4778,Services,
Confucius Mandarin Institute,Bedok Point,#03-12/13/14/15/16,6245 3233,Schools & Offices,
Confucius Mandarin Institute,Northpoint City,North Wing  #03-11,6757 3232,Schools & Offices,
Converse,Causeway Point,#02-12,6893 5943,Fashion Wear & Accessories,
Converse,Waterway Point,East Wing  #B1-35,6213 7022,Fashion Wear & Accessories,
Cookhouse by Koufu,Waterway Point,West Wing  #02-20,6385 8824,Food & Restaurants,
Coslab,The Centrepoint,#02-28A/28B,6262 0012,Hair & Beauty,
Coslab,Waterway Point,East Wing  #01-43,6384 5255,Hair & Beauty,
Cotton On,Causeway Point,#01-21,6894 1349,Fashion Wear & Accessories,
Cotton On,Changi City Point,#01-08,6636 0490,Fashion Wear & Accessories,
Cotton On,Northpoint City,North Wing  #02-38,6755 6753,Fashion Wear & Accessories,
Cotton On,Waterway Point,East Wing  #01-61,6385 7946,Fashion Wear & Accessories,
Cotton On Kids,Anchorpoint,#01-24/25/26/27,6266 3114,Children's Wear  Toys & Maternity,
Cotton On Kids,Waterway Point,West Wing  #02-09,6385 9345,Children's Wear  Toys & Maternity,
Cotton On Outlet,Anchorpoint,#01-01/02,6476 2944,Fashion Wear & Accessories,
Country Brot by Four Leaves,Northpoint City,North Wing  #B1-04,6755 7080,Food & Restaurants,
Country Brot by Four Leaves,Waterway Point,West Wing  #B2-31,6385 8863,Food & Restaurants,
Couple Lab,Waterway Point,West Wing  #01- K8,6384 2729,Fashion Wear & Accessories,
Courts,Causeway Point,#04-19/20,1800 222 6868,Furniture  Furnishings and Household,
Covet,Causeway Point,#01-11,6893 5923,Leather Goods  Bags & Shoes,
Crave,Northpoint City,North Wing  #B1-45,N.A,Food & Restaurants,
Crave,Waterway Point,East Wing  #B1-K7,6384 9509‰Û¡ÌÝÌÏ,Food & Restaurants,
Creative Art Corner,Causeway Point,#03-K01,9322 8787,Arts & Crafts,
Crescendo Hairdressing,Changi City Point,#02-18,6604 9839,Hair & Beauty,
Crescendo Hairdressing,Waterway Point,East Wing  #01-35,6385 1816,Hair & Beauty,
Crislo Maid Specialist,Eastpoint Mall,#03-10,N.A,Services,
Cristofori Music School,Bedok Point,#04-05/08,6241 6631,Schools & Offices,
Cristofori Music School,Changi City Point,#02-14,6636 1046,Schools & Offices,
Cristofori Music School,Eastpoint Mall,#06-01,6787 3839,Schools & Offices,
Crocs,Causeway Point,#03-14A,6760 2567,Leather Goods  Bags & Shoes,
Crocs Outlet,Changi City Point,#02-41,6636 1390,Leather Goods  Bags & Shoes,
Croute,Valley Point,#01-11/12,6887 4996,Food & Restaurants,
Crystal Jade Kitchen,Causeway Point,#05-10,6891 1779,Food & Restaurants,
Crystal Jade Kitchen,The Centrepoint,#03-43,6734 9420,Food & Restaurants,
Crystal Jade My Bread,Causeway Point,#B1-K21,6893 8123,Food & Restaurants,
Crystal Wines,Valley Point,#01-02/03,6737 3540,Food & Restaurants,
CY Prints,Northpoint City,North Wing  #03-K1,Not Available.,Arts & Crafts,
D&C,Anchorpoint,#01-21,N.A.,Leather Goods  Bags & Shoes,
D&C,Eastpoint Mall,#01-23,6604 6108,Leather Goods  Bags & Shoes,
Daessiksin Korean BBQ Buffet,Causeway Point,#05-11,6760 3797,Food & Restaurants,
Daessiksin Korean BBQ Buffet,Waterway Point,East Wing  #01-33,6385 8059,Food & Restaurants,
Daiso,Eastpoint Mall,#B1-14,6782 6835,Furniture  Furnishings and Household,
Daiso,Waterway Point,West Wing  #B1-09,6385 8446,Furniture  Furnishings and Household,
Daiso Japan,Changi City Point,#B1-01/02/03,6334 0129,Furniture  Furnishings and Household,
dal.komm COFFEE,The Centrepoint,#01-01/06 and #01-102/103,Not Available.,Food & Restaurants,
Danro Collagen <br>å___å¢Ì Hotpot Buffet by MOF / Tensho by MOF,Waterway Point,East Wing  #01-32,6386 1741,Food & Restaurants,
Dapur Penyet,The Centrepoint,#01-59/60/61/62,6734 2840,Food & Restaurants,
Darling Shoes,Changi City Point,#01-46,6636 4639,Leather Goods  Bags & Shoes,
Day Market,Waterway Point,West Wing  #02-33,Not Available,Toys & Collectibles,
DBS Service Centre,Causeway Point,#B1 - 26,1800 222 2200,Bank & Money Changer,
DD Collection,Eastpoint Mall,#03-K5,N.A,Fashion Wear & Accessories,
De Dental Practice,Eastpoint Mall,#03-13,6784 7800,Pharmacy & Healthcare,
De Dental Practice Two,Changi City Point,#02-17,6543 6345,Pharmacy & Healthcare,
De Sand Salon,Anchorpoint,#B1-01/02,6474 0433,Hair & Beauty,
De Spring,Anchorpoint,#B1-35,Not Available,Fashion Wear & Accessories,
Delifrance,Causeway Point,#B1-21,6462 6447,Food & Restaurants,
Denizen,Northpoint City,North Wing  #02-31,6484 0164,Fashion Wear & Accessories,
Desa Kartika Indonesian Restaurant,The Centrepoint,#04-13/15,6732 7372,Food & Restaurants,
Devotz,China Square Central,18 Cross St #01-20,6438 1880,Fashion Wear & Accessories,
Dian Xiao Er,Waterway Point,East Wing  #01-30,6385 8513,Food & Restaurants,
Din Tai Fung,The Centrepoint,#02-55,6694 2292,Food & Restaurants,
Din Tai Fung,Waterway Point,West Wing  #01-22,6384 7767,Food & Restaurants,
Dining Place by Chef Heman,The Centrepoint,#B1-11/12,6732 1188,Food & Restaurants,
Dorothy Perkins,Causeway Point,#02-31,6891 4168,Fashion Wear & Accessories,
DoSiRak,China Square Central,18 Cross St #01-02,6530 6634,Food & Restaurants,
Dough & Grains,Waterway Point,East Wing  #01-K6/K7,Not Available.,Food & Restaurants,
Dough Culture,Causeway Point,#01-K08,6893 9223,Food & Restaurants,
Dough Culture,Changi City Point,#B1-K3,6636 3356,Food & Restaurants,
Dough Culture,Northpoint City,North Wing  #B1-10,6482 4125,Food & Restaurants,
Dough Culture,Waterway Point,East Wing  #01-K5,Not Available,Food & Restaurants,
Dr Kong,Causeway Point,#03-25,6760 3192,Leather Goods  Bags & Shoes,
Dr Kong,Changi City Point,#01-22,6444 5043,Leather Goods  Bags & Shoes,
Dr Tan & Partners,Robertson Walk,#02-07,6238 7810,Pharmacy & Healthcare,
Duke Bakery,Anchorpoint,#B1-10,6479 6978,Food & Restaurants,
Duke Bakery,Bedok Point,#01-08,6242 6738,Food & Restaurants,
Dunkin' Donuts,Causeway Point,#B1-K16,6760 0248,Food & Restaurants,
Dunkin' Donuts,Northpoint City,North Wing  #B1-17,N.A,Food & Restaurants,
Dunkin' Donuts,Waterway Point,West Wing  #B1-K3,6384 6612,Food & Restaurants,
Dunlopillo,The Centrepoint,#04-02,6268 4565,Furniture  Furnishings and Household,
Each-A-Cup,Causeway Point,#B1-K13,Not Available.,Food & Restaurants,
Eagle Beauty,Eastpoint Mall,#04-10/11,N.A,Hair & Beauty,
Earth Hair & Beauty Salon,Valley Point,#01-04,6737 0108,Hair & Beauty,
Eastchamp Optics,Anchorpoint,#B1-25,6471 1393,Optical,
Eastern Rice Dumpling,Northpoint City,North Wing  #B1-14,6852 9732,Food & Restaurants,
Eastern Rice Dumpling,YewTee Point,#B1-45,Not Available.,Food & Restaurants,
Eastpoint Moneychanger,Eastpoint Mall,#B1-09,6788 1371,Bank & Money Changer,
EAT.,Northpoint City,North Wing  #B2-14,6484 2556,Food & Restaurants,
EC House,Anchorpoint,#B1-18,6474 7174,Hair & Beauty,
EC House,Northpoint City,North Wing  #B1-38,6339 5677,Hair & Beauty,
Edvox Music School,Waterway Point,West Wing  #02-08,6100 3380,Schools & Offices,
eGG,Waterway Point,West Wing  #01-20,6385 8301,Optical,
Eighteen Chefs,Eastpoint Mall,#01-12,6789 2852,Food & Restaurants,
Eighteen Chefs,YewTee Point,#B1-29/30,6834 4770,Food & Restaurants,
Eldric Marketing,The Centrepoint,#05-03,6339 1188,Furniture  Furnishings and Household,
Elegant Nails,Valley Point,#01-15,6736 0360,Hair & Beauty,
Elements by Home-Fix,Waterway Point,East Wing  #B2-09,6385 7949,Furniture  Furnishings and Household,
Elements Wellness,The Centrepoint,#02-28,6737 8488,Services,
Empire State,Causeway Point,#02-10/K10,6893 2976,Food & Restaurants,
Encik Tan,Eastpoint Mall,#B1-12,N.A,Food & Restaurants,
Encik Tan,YewTee Point,#B1-28,N.A,Food & Restaurants,
Encik Tan,Waterway Point,East Wing  #B2-03,Not Available,Food & Restaurants,
Envy and Pride Beauty World,The Centrepoint,#01-28/29,N.A.,Leather Goods  Bags & Shoes,
Erabelle,Eastpoint Mall,#02-12/13,6260 0098,Hair & Beauty,
Ergoworks,Causeway Point,#03-26,6893 8488,Furniture  Furnishings and Household,
Ergoworks,The Centrepoint,#03-36,6836 8488,Furniture  Furnishings and Household,
Espressolab,China Square Central,18 Cross St,6536 2328,Food & Restaurants,
Esprit,Causeway Point,#01-26/27,6894 9700,Fashion Wear & Accessories,
Esprit,Waterway Point,West Wing  #01-04/05,6385 9463,Fashion Wear & Accessories,
Esprit Outlet,Changi City Point,#02-43/44,6297 1211,Fashion Wear & Accessories,
Essential Face & Body Hub,China Square Central,18 Cross St,6327 8807,Hair & Beauty,
Estetica,Northpoint City,North Wing  #02-24,6755 5726,Hair & Beauty,
EtonHouse,Robertson Walk,#02-20,6221 1050,Schools & Offices,
Etude House,Causeway Point,#B1-K02,6893 3817,Hair & Beauty,
Eu Yan Sang,Causeway Point,#B1-38,6894 2517,Pharmacy & Healthcare,
Eu Yan Sang,The Centrepoint,#B1-23/24,6235 3960,Pharmacy & Healthcare,
Eu Yan Sang,Waterway Point,West Wing  #B2-28,6385 8453,Pharmacy & Healthcare,
Eu Yan Sang TCM,Eastpoint Mall,#03-15,6785 9159,Pharmacy & Healthcare,
Eu Yan Sang TCM Clinic,Waterway Point,West Wing  #02-13,6875 7004,Pharmacy & Healthcare,
Evergreen Stationery,Changi City Point,#02-12/K3/K4,6636 2976,Books & Stationery,
Everlast,Causeway Point,#02-20,6760 0119,Fashion Wear & Accessories,
Evita PERONI,The Centrepoint,#01-K7,N.A,Fashion Wear & Accessories,
Eyechamp Young,Waterway Point,West Wing  #02-31,6386 0816,Optical,
Factorie,Causeway Point,#02-28,6219 5289,Fashion Wear & Accessories,
Factorie,Waterway Point,East Wing  #01-50,6385 9334,Fashion Wear & Accessories,
Factory Direct Sales,Anchorpoint,#B1-37,6252 0089,Leather Goods  Bags & Shoes,
Fairprice Finest,Changi City Point,#B1-08/09/10/11,6444 1472 <br> 6443 8547,Supermarket,M400045780
FairPrice Finest,Valley Point,#01-14,6733 9358,Supermarket,M400045780
Fairprice Finest,Waterway Point,West Wing  #B2-32,6385 8959,Supermarket,M400045780
Famous Amos,Causeway Point,#B1-K20,6894 8831,Food & Restaurants,
Famous Amos,Northpoint City,North Wing  #B1-16,6752 6272,Food & Restaurants,
Famous Tiong Bahru Dessert,Causeway Point,#01-K10,Not Available,Food & Restaurants,
Fancy Delight,Causeway Point,#B1-K19,Not Available,Food & Restaurants,
Fasu,Northpoint City,North Wing  #02-22,6257 1618,Fashion Wear & Accessories,
Feng Shui Shi Jia,Waterway Point,#B2-18,N.A.,Services,
Fingertip Nail Care,Bedok Point,#B1-14,6445 5001,Hair & Beauty,
First Lady Nails & Beauty,Northpoint City,North Wing  #03-29,6482 5722,Hair & Beauty,
Fish & Co.,Waterway Point,East Wing  #B1-18,6385 9061,Food & Restaurants,
Fish Mart SAKURAYA,Anchorpoint,#01-32/33,6474 2495,Food & Restaurants,
Five Izakaya Bar,Changi City Point,#01-66/67,6604 8255,Food & Restaurants,
Flora Springs & Party,Anchorpoint,#B1-11,6474 4119,Gifts,
Folks Collective,China Square Central,20 Cross St,6536 6739,Food & Restaurants,
Food Junction,Eastpoint Mall,#04-04,6338 8213,Food & Restaurants,
Food Republic,Causeway Point,#04-01/04,6891 1021,Food & Restaurants,
Forever Flawless,The Centrepoint,#02-02/02A/03/03A,6737 1012,Hair & Beauty,
Forty 42,China Square Central,18 Cross St #02-10,Not Available.,Toys & Collectibles,
Four Leaves,Anchorpoint,#B1-57,6473 3801,Food & Restaurants,
Four Leaves,Causeway Point,#B1-34,6894 1232,Food & Restaurants,
Four Leaves,Changi City Point,#B1-52,6636 1663,Food & Restaurants,
