7603,CASH & CARRY,smartfoodservice;cash & carry,
138,CASH SAVER,CASH SAVER,
7605,CASH WISE,CASH WISE,
7606,CENTRAL MARKET,Cental Market,
,CERMAK FRESH MARKET,Cermak,
108,CHEVRON,Chevron,
,CHIEF,CHIEF,
81,CIRCLE K,CIRCLE K,
29,CITY MARKET,CITY MARKET,
7609,COBORN'S,COBORNS;COBORN'S,
,COMMUNITY MARKETS,Community Markets,
7612,COMPARE FOODS,Compare Foods,
164,COPPS,COPPS,
103,CORNER STORE,CORNER STORE,
,COST LESS,Cost Less,
,COST PLUS WORLD MARKET,WORLD MARKET;Cost Plus,
,COST PLUS WORLD MARKET,worldmarket,
2,COSTCO,Costco,
162,COUNTRY MARKET,COUNTRY MARKET,
,COUNTRY MART,Country Mart,
,COUNTY FAIR,Country Fair,
,CREST FRESH MARKET,CREST FOODS,
7617,CUB FOODS,|Cub|;Cub Foods,
6705,CUMBERLAND-FARMS,CUMBERLAND,
3,CVS,CVS,1
7620,D&W FRESH MARKET,D&W,
,DAROLD'S SUPERVALU,DAROLD'S SUPERVALU,
7623,DAVE'S MARKETPLACE,Dave's Market;davesmarket,
48,DEFENSE COMMISSARY AGENCY,COMMISSARY;Commissaries,
7627,DIERBERGS,Dierbergs,
,DILLON'S,Dillon's,
6788,DILLARD'S,Dillards;Dillard's,
6709,DISCOUNT DRUG MART,DISCOUNT DRUG MART,
6892,DISCOUNT DRUG MART,DISCOUNT DRUG MART,
,DOC'S FOOD OUTLET,DOC'S FOOD,
4,DOLLAR GENERAL,Dollar General;DGCustomer;LAR GENERAL STORE,
5,DOLLAR TREE,Dollar Tree,
18,DUANE READE,Duane Reade,
6752,E-Z MART,E-Z MART;EZ MART,
7632,EARTH FARE,Earth Fare,
7633,ECONO FOODS,ECONO FOOD,
7636,EL RANCHO,El Rancho,
,EL SUPER,EL SUPER,
7218,EXXON,Exxon,
7567,FAIRWAY MARKET,FAIRWAY,
165,FAMILY DOLLAR,Family Dollar,
181,FAMILY FARE SUPERMARKETS,Family Fare,
168,FAREWAY,FAREWAY,
178,FARM FRESH,FARM FRESH,
,FESTIVAL FOODS,festfoods;Festival Foods,
7648,FIESTA MART,FIESTA MART,
,FINE WINE & GOOD SPIRITS,FINE WINE & GOOD;FINE WINE AND GOOD,
,FLASH FOODS,FLASH FOODS,
,FLYING,Flying,
31,FOOD 4 LESS,Food4Less,
146,FOOD CITY,FOOD CITY,
,FOOD DEPOT,FOOD DEPOT,
,FOOD FAIR,Food Fair,
8640,FOOD KING,FOOD KING,
142,FOOD LION,Food Lion,
7659,FOOD MAXX,FOOD MAXX,
7654,FOOD SOURCE,Food Source,
7661,FOOD TOWN,FOOD TOWN,
7656,FOODLAND,FOODLAND,
53,FRED MEYER,Fred Meyer,
69,FRED'S SUPER DOLLAR,FREDS,
7666,FRESCO Y MAS,FRESCO Y MAS,
77,FRESH MARKET,FRESH MARKET,
7667,FRESH THYME,FRESH THYME,
60,FRY'S FOOD STORE,Fry's,
32,GERBE'S,GERBE'S;GERBES,
7638,GERRITY'S SUPERMARKETS,GERRITYS;GERRITY'S,
,GET-GO,GETGO,
144,GIANT EAGLE,Giant Eagle,
7673,GIANT,Giant,
,GIUNTA'S MEAT FARMS,Giunta's;GIUNTAS,
,GROCERY OUTLET BARGAIN MARKET,GROCERY OUTLET BARGAIN MARKET,
,H MART,H MART,
44,H-E-B,|HEB|;H-E-B,
160,HANNAFORD,HANNAFORD,
,HAY'S SUPERMARKET,|Hay's|,
7678,HARMONS,Harmon,
7679,HARPS FOOD STORE,HARPS,
33,HARRIS TEETER,Harris Teeter,
6226,HARVEYS SUPERMARKET,Harveys,
7681,HEINEN'S,HEINENS;HEINEN'S,
7682,HEN HOUSE,Hen House,
,HMS HOST,HMS HOST,
,HOME TOWN MARKETPLACE,Hometown Market,
156,HOMELAND,HOMELAND,
7684,HORNBACHER'S,HORNBACHER'S;HORNBACHERS,
,HUDSON NEWS,Hudson News;hudson group,
,HUGO'S,HUGO'S;HUGOS,
56,HY-VEE,Hyvee;Hy-vee,
,IDEAL MARKET,Ideal Market;Ideal Mrkt,
,IGA,|IGA|,
66,INGLES,|INGLES|,
35,JAY C,JAY C,
23,JEWEL OSCO,Jewel Osco;Jewel-Osco,
123,KANGAROO EXPRESS,Kangaroo,
7700,KEY FOOD,KEY FOOD,
7702,KING KULLEN,King Kullen,
36,KING SOOPERS,King Soopers,
8317,KINNEY DRUGS,Kinney Drugs,
6062,KMART,KMART;K-MART;K MART,
,Kuhn's QUALITY FOODS,Kuhns;Kuhn's,
,KUM & GO,KUM & GO,
,KWIK FILL,Kwik Fill,
,KWIK SHOP,Kwik Shop,
,KWIK STAR,Kwik Star,
75,KWIK TRIP,KWIK TRIP,
,LAKE MILLS MARKET,Lake Mills,
8322,LONGS DRUGS,LONGS DRUGS,
111,LOVE'S,LOVES;LOVE'S,
16,LOWE'S,Lowe's,
148,LOWES FOODS,LOWES,
7714,LUCKY'S MARKET,LUCKYS;LUCKY'S,
101,LUNDS & BYERLYS,LUNDS & BYERLYS;LUNDS AND BYERLYS,
7717,Mac's Fresh Market,Mac's Fresh,
,Macey's,Macey's;maceys.com,
116,MAPCO MART,MAPCO MART,
106,MARATHON,Marathon,
72,MARC'S,MARCS;MARC'S,
158,MARIANO'S,MARIANO'S;MARIANO'S,
61,MARKET BASKET,MARKET BASKET,
,MARKET BISTRO,Market Bistro,
,MARKET DISTRICT,MARKET DISTRICT,
89,MARKET STREET,Market Street,
,Marketplace Food & Drug,MARKETPLACE FOOD,
,MARKETPLACE FOODS,MARKETPLACE FOODS,
115,MAVERIK ADVENTURE'S FIRST STOP,MAVERIK ADVENTURE,
,MCKEEVER'S PRICE CHOPPER,MCKEEVER,
19,MEIJER,Meijer,
,Menards,MENARDS,
7738,METRO MARKET,Metro Market,
,MILLER'S SUPERMARKET,MILLER'S;MILLERANDSONS,
5986,MILLS FLEET FARM,MILLS FLEET FARM,
7741,MORRISONS,MORRISONS;MORRISON'S,
110,MURPHY USA,MURPHY,
87,NATURAL GROCERS,NATURAL GROCERS,
6054,NAVY EXCHANGE,NAVY EXCHANGE,
169,NOB HILL FOODS,NOB HILL,
95,NORTH GATE MARKET,North GATE,
,NURSERY ROAD LIQUORS,NURSERY ROAD,
5944,OLLIE'S OUTLET,OLLIES,
37,OWEN'S,OWEN'S,
,PATEL BROTHERS,Patel Brothers,
93,PAVILIONS,PAVILION,
38,PAY LESS SUPER MARKETS,PAY LESS;PAY-LESS,
38,PAYLESS,SHOPPING PAYLESS,
,PETE'S MARKET,PETE'S FRESH MARKET;PETES FRESH MARKET,
124,PIGGLY WIGGLY,Piggly Wiggly;shopthepig.com,
109,PILOT,PILOT,
,PICK N SAVE,PICK N SAVE:PICK N' SAVE,
7766,PRESIDENTE SUPERMARKET,Presidente,
62,PRICE CHOPPER,PRICE CHOPPER,
91,PRICE CUTTER,PRICE CUTTER,
7768,PRICE LESS FOODS,PRICE LESS FOODS,
7769,PRICE LESS IGA,Price less iga,
85,PRICE RITE,PRICE RITE,
7,PUBLIX,Publix,
39,QFC,QFC,
6725,QUICK CHEK,Quick Chek,
153,RALEY'S,RALEYS,
40,RALPH'S,Ralphs;Ralph's,
7780,RANDALLS,RANDALLS,
,REASOR'S,REASOR'S;REASORS,
150,REDNER'S WAREHOUSE MARKETS,REDNERS,
,RIDLEY'S FAMILY MARKETS,RIDLEYS;RIDLEY'S,
143,RITE AID,Rite Aid,
5940,ROSES,Roses,
86,ROUSES MARKET,ROUSES,
6728,ROYAL FARMS,Royal Farms,
41,RULER FOODS,RULER,
5989,RURAL KING,RURAL KING,
8,SAFEWAY,Safeway,
6048,SAINSBURYS,SAINSBURY,
9,SAM'S CLUB,Sam's Club;SAMS CLUB;Sam's Instant Savings,
,SAUBEL'S MARKETS,Saubel's;Saubels,
7788,SAVE A LOT,Save A Lot;SAVE-A-LOT,
139,SAVE MART SUPERMARKETS,SAVE MART,
68,SCHNUCKS,SCHNUCKS,
7793,SEAFOOD CITY,SEAFOOD CITY,
7794,SEDANO'S,SEDANOS;SEDANO'S,
,SENDIK'S FOOD MARKET,Sendiks,
171,SEPHORA,Sephora,
26,SHAW'S,Shaws;Shaw's,
99,SHEETZ,SHEETZ,
92,SHELL,|SHELL|,
163,SHOP 'N SAVE,SHOP 'N SAVE;SHOP N SAVE,
6061,SHOPKO,SHOPKO,
80,SHOPPERS,SHOPPERS FOOD;SHOPPERS LISTENS,
,SHOPPERS VALUE,SHOPPERS VALUE,
22,SHOPRITE,ShopRite;Shop Rite,
73,Smart & Final,SMART & FINAL;SMART AND FINAL,
42,SMITH'S,Smiths,
,SPARKLE,Sparkle,
90,SPEEDWAY,SPEEDWAY,
7806,SPRING MARKET,Spring Market,
54,SPROUTS FARMERS MARKET,SPROUTS,
65,STATER BROS,STATER BROS,
,STEW LEONARD'S,Stew's;stew leonard's;stew leonards,
6732,STEWARTS SHOP,Stewarts,
45,STOP & SHOP,STOPANDSHOP;SHOP & SHOP,
,STRACK & VANTIL,STRACK AND VAN;STRACK & VAN,
113,STRIPES,STRIPES,
,SUN SHINE FOODS,Sunshine Food,
105,SUNOCO,SUNOCO,
102,SUPER 1 FOODS,SUPER ONE;SUPER 1,
6737,SUPER AMERICA,SUPER AMERICA,
6881,Super Dollar,Super Dollar,
,SUPER SAVER,SUPER SAVER,
7817,SUPERIOR GROCERS,SUPERIOR,
,T MARKET,T MARKET,
1,TARGET,Target,
6051,TESCO,TESCO,
175,THORNTONS,THORNTONS,
,THRIFTWAY,Thriftway,
,Times Supermarket,TIMES SUPER,
76,TOM THUMB,TOM STORE;TOM THUMB,
,TONY'S FINER FOODS,TONYS FINER FOODS;TONY'S FINER FOODS,
64,TOPS,Tops,
79,TOTAL WINE & MORE,TOTAL WINE,
,TOWN & COUNTRY,Town & Country;town-country;mytcfeedback,
7823,TRADER JOE'S,Trader Joes;Trader Joe's,
,TRIG'S,TRIGS;TRIG'S,
135,TURKEY HILL,TURKEY HILL,
,ULTA,|ULTA|;ULTA.COM,
78,UNITED SUPERMARKETS,United,
7824,VALLARTA SUPERMARKETS,VALLARTA,
,VALLI PRODUCE,Valli Produce,
,VGS GROCERY,Vgs Grocery,
,VILAS SUPERSTORE,|VILAS|,
,VILLAGE MARKET,V Market;VillageMarket,
63,VONS,Vons,
8641,WAITROSE,WAITROSE;WAIT ROSE,
10,WALGREENS,Walgreens,
11,WALMART,Walmart;Save Money. Live Better.;Low Prices You Can Trust;Walnart;Wal-mart,
,WALT'S FOOD CENTER,Walt's Food,
96,WAWA,WAWA,
52,WEGMANS,Wegmans,
145,WEIS MARKETS,Weis Markets,
7828,WESTERN BEEF,western beef,
55,WHOLE FOODS MARKET,Whole Foods,
51,WINCO FOODS,Winco;Winco Foods,
47,WINN-DIXIE,Winn Dixie;Winn-Dixie,
67,WOODMAN'S MARKET,WOODMANS;Woodman's,
,WOODS SUPER MARKET,WOODS SUPER,
,PETSMART,Petsmart,
,CRACKER BARREL,CRACKER BARREL,
,H&M,|H&M|;HM.COM,
,TACO BELL,TACO BELL,
,PAPA JOHNS,PAPA JOHNS,
,SCHWEBEL BAKING COMPANY,SCHWEBEL BAKING COMPANY,
,ORCHARD SUPPLY,ORCHARD SUPPLY,
,HOMERUN FOODS,HOMERUN FOODS,
,AEROPOSTALE,AEROPOSTALE,
,MCDONALD'S,MCDONALD'S;MCDONALDS;MCDVOICE,
,KROGER,KROGER,
,KOHL'S,KOHL'S;KOHLS,
,DUNKIN DONUTS,DUNKIN' DONUTS;DUNKIN DONUTS,
,APPLES MARKET,APPLES MARKET,
,CHECKERS,CHECKERS,
,YOKE'S FRESH MARKET,YOKE'S; YOKES,
,BEST BUY ,BEST BUY,
,MICHAELS,MICHAELS,
,ANN TAYLOR,ANN TAYLOR,
,TGI FRIDAY'S,TGI FRIDAY'S;TGI FRIDAYS,
,HOME DEPOT,HOME DEPOT,
,FLOWERS BAKING CO,FLOWERS BAKING,
,CINNABON,CINNABON,
,OLIVE GARDEN,OLIVE GARDEN,
,GOODWILL,GOODWILL,
,IHOP,|IHOP|,
,CARIBOU COFFEE,CARIBOU COFF,
6677,STARBUCKS COFFEE,STARBUCKS,
,RED ROBIN,RED ROBIN,
,MACY'S,MACY's;MACYS,
,IN-N-OUT,,
